品牌,类别,订单来源,订单状态,账期,成交价,订单金额,账单金额,账单二级类型,项目,收件人姓名,收件人姓名_脱敏,收件人手机号,收件人手机号_脱敏
微星,一体机,京东,已成交,2026-06,10445.33,10443.13,10443.13,退换订单,PC 经营采购,顾客1620,顾客1620,1**********,1**********
七彩虹,游戏本,电商通,已成交,2026-06,8382.37,9155.2,9155.2,采购订单,PC 经营采购,顾客1621,顾客1621,1**********,1**********
七彩虹,显示器,天猫,已成交,2026-03,7675.06,8849.27,8849.27,退换订单,PC 经营采购,顾客1622,顾客1622,1**********,1**********
雷神,轻薄本,快手,新建采购,2026-06,,7555.02,935.52,采购订单,PC 经营采购,顾客1623,顾客1623,1**********,1**********
惠普(HP),显示器,京东,新建采购,2026-07,,7357.29,1171.36,退换订单,PC 经营采购,顾客1624,顾客1624,1**********,1**********
雷神,游戏本,天猫,已成交,2026-06,7999.95,9524.59,9524.59,退换订单,PC 经营采购,顾客1625,顾客1625,1**********,1**********
联想（Lenovo）,轻薄本,电商通,报价中,2026-02,,6439.69,1245.54,销售订单,PC 经营采购,顾客1626,顾客1626,1**********,1**********
机械革命,台式整机,淘宝,已成交,2026-08,9884.92,11045.16,11045.16,采购订单,PC 经营采购,顾客1627,顾客1627,1**********,1**********
宏碁（acer）,游戏本,淘宝,已成交,2026-04,6971.3,6944.91,6944.91,采购订单,PC 经营采购,顾客1628,顾客1628,1**********,1**********
宏碁（acer）,轻薄本,淘宝,已成交,2026-02,7181.35,6695.76,6695.76,采购订单,PC 经营采购,顾客1629,顾客1629,1**********,1**********
微星,笔记本电脑,拼多多,新建采购,2026-03,,10789.74,2418.05,采购订单,PC 经营采购,顾客1630,顾客1630,1**********,1**********
ThinkPad,一体机,电商通,已成交,2026-02,6674.19,7291.0,7291.0,采购订单,PC 经营采购,顾客1631,顾客1631,1**********,1**********
雷神,笔记本电脑,京东,已成交,2026-06,7700.53,8153.3,8153.3,采购订单,PC 经营采购,顾客1632,顾客1632,1**********,1**********
机械革命,游戏本,天猫,已成交,2026-05,9959.45,8994.86,8994.86,销售订单,PC 经营采购,顾客1633,顾客1633,1**********,1**********
微星,游戏本,拼多多,撤销,2026-03,,8665.21,1244.59,销售订单,PC 经营采购,顾客1634,顾客1634,1**********,1**********
七彩虹,游戏本,拼多多,已成交,2026-02,8088.48,8185.7,8185.7,采购订单,PC 经营采购,顾客1635,顾客1635,1**********,1**********
华硕（ASUS）,电脑配件,电商通,撤销,2026-05,,8534.58,2401.16,退换订单,PC 经营采购,顾客1636,顾客1636,1**********,1**********
ThinkPad,显示器,天猫,已成交,2026-02,6904.29,6887.77,6887.77,销售订单,PC 经营采购,顾客1637,顾客1637,1**********,1**********
惠普(HP),游戏本,天猫,已成交,2026-03,7396.13,8261.83,8261.83,采购订单,PC 经营采购,顾客1638,顾客1638,1**********,1**********
微星,台式整机,淘宝,已成交,2026-04,9242.4,9426.54,9426.54,退换订单,PC 经营采购,顾客1639,顾客1639,1**********,1**********
宏碁（acer）,笔记本电脑,快手,撤销,2026-05,,7709.38,1100.2,销售订单,PC 经营采购,顾客1640,顾客1640,1**********,1**********
惠普(HP),游戏本,京东,报价中,2026-02,,7977.42,686.79,采购订单,PC 经营采购,顾客1641,顾客1641,1**********,1**********
ThinkPad,轻薄本,拼多多,已成交,2026-05,7373.52,7247.3,7247.3,退换订单,PC 经营采购,顾客1642,顾客1642,1**********,1**********
联想（Lenovo）,笔记本电脑,快手,撤销,2026-05,,6293.61,1358.66,销售订单,PC 经营采购,顾客1643,顾客1643,1**********,1**********
机械革命,台式整机,快手,已成交,2026-02,8115.96,7884.29,7884.29,采购订单,PC 经营采购,顾客1644,顾客1644,1**********,1**********
宏碁（acer）,电脑配件,拼多多,报价中,2026-07,,7294.74,1986.5,采购订单,PC 经营采购,顾客1645,顾客1645,1**********,1**********
机械革命,一体机,抖音,已成交,2026-01,9906.84,10530.62,10530.62,销售订单,PC 经营采购,顾客1646,顾客1646,1**********,1**********
华硕（ASUS）,一体机,抖音,报价中,2026-02,,9731.8,1579.83,退换订单,PC 经营采购,顾客1647,顾客1647,1**********,1**********
机械革命,一体机,拼多多,撤销,2026-01,,8374.19,2223.12,销售订单,PC 经营采购,顾客1648,顾客1648,1**********,1**********
雷神,电脑配件,淘宝,已成交,2026-04,7365.43,8248.87,8248.87,销售订单,PC 经营采购,顾客1649,顾客1649,1**********,1**********
七彩虹,电脑配件,电商通,已成交,2026-06,8230.17,7308.64,7308.64,销售订单,PC 经营采购,顾客1650,顾客1650,1**********,1**********
联想（Lenovo）,游戏本,抖音,撤销,2026-07,,6798.76,162.91,销售订单,PC 经营采购,顾客1651,顾客1651,1**********,1**********
机械革命,台式整机,电商通,已成交,2026-03,10661.7,11039.15,11039.15,销售订单,PC 经营采购,顾客1652,顾客1652,1**********,1**********
微星,显示器,京东,撤销,2026-04,,11181.0,342.11,销售订单,PC 经营采购,顾客1653,顾客1653,1**********,1**********
雷神,笔记本电脑,快手,报价中,2026-06,,7662.74,1534.01,销售订单,PC 经营采购,顾客1654,顾客1654,1**********,1**********
华硕（ASUS）,笔记本电脑,拼多多,已成交,2026-03,8584.71,7085.65,7085.65,采购订单,PC 经营采购,顾客1655,顾客1655,1**********,1**********
微星,游戏本,淘宝,已成交,2026-07,10913.72,9323.31,9323.31,退换订单,PC 经营采购,顾客1656,顾客1656,1**********,1**********
联想（Lenovo）,一体机,拼多多,已成交,2026-03,5818.15,6164.6,6164.6,销售订单,PC 经营采购,顾客1657,顾客1657,1**********,1**********
微星,笔记本电脑,抖音,已成交,2026-02,8684.8,9770.63,9770.63,退换订单,PC 经营采购,顾客1658,顾客1658,1**********,1**********
宏碁（acer）,笔记本电脑,淘宝,已成交,2026-06,8177.44,6422.05,6422.05,采购订单,PC 经营采购,顾客1659,顾客1659,1**********,1**********
惠普(HP),一体机,电商通,已成交,2026-04,8033.65,8869.92,8869.92,销售订单,PC 经营采购,顾客1660,顾客1660,1**********,1**********
七彩虹,台式整机,抖音,已成交,2026-05,7893.07,9275.15,9275.15,退换订单,PC 经营采购,顾客1661,顾客1661,1**********,1**********
惠普(HP),轻薄本,拼多多,报价中,2026-08,,8318.57,1699.31,采购订单,PC 经营采购,顾客1662,顾客1662,1**********,1**********
微星,笔记本电脑,电商通,已成交,2026-07,10319.96,8944.48,8944.48,采购订单,PC 经营采购,顾客1663,顾客1663,1**********,1**********
宏碁（acer）,游戏本,天猫,已成交,2026-02,8152.07,7368.8,7368.8,销售订单,PC 经营采购,顾客1664,顾客1664,1**********,1**********
机械革命,台式整机,拼多多,已成交,2026-04,9693.99,11235.04,11235.04,采购订单,PC 经营采购,顾客1665,顾客1665,1**********,1**********
惠普(HP),电脑配件,天猫,已成交,2026-04,8564.77,8678.17,8678.17,销售订单,PC 经营采购,顾客1666,顾客1666,1**********,1**********
微星,游戏本,拼多多,撤销,2026-08,,8048.85,1873.66,销售订单,PC 经营采购,顾客1667,顾客1667,1**********,1**********
宏碁（acer）,一体机,快手,报价中,2026-01,,6609.19,434.83,销售订单,PC 经营采购,顾客1668,顾客1668,1**********,1**********
机械革命,笔记本电脑,拼多多,报价中,2026-06,,9561.0,1133.68,退换订单,PC 经营采购,顾客1669,顾客1669,1**********,1**********
联想（Lenovo）,轻薄本,拼多多,已成交,2026-03,5960.85,6991.85,6991.85,采购订单,PC 经营采购,顾客1670,顾客1670,1**********,1**********
惠普(HP),电脑配件,拼多多,报价中,2026-05,,8343.48,72.07,销售订单,PC 经营采购,顾客1671,顾客1671,1**********,1**********
宏碁（acer）,电脑配件,天猫,撤销,2026-05,,8275.76,2192.45,销售订单,PC 经营采购,顾客1672,顾客1672,1**********,1**********
机械革命,笔记本电脑,天猫,已成交,2026-07,9237.33,9865.6,9865.6,退换订单,PC 经营采购,顾客1673,顾客1673,1**********,1**********
联想（Lenovo）,电脑配件,天猫,撤销,2026-04,,7956.62,1435.43,退换订单,PC 经营采购,顾客1674,顾客1674,1**********,1**********
机械革命,电脑配件,天猫,撤销,2026-08,,8555.88,1059.64,退换订单,PC 经营采购,顾客1675,顾客1675,1**********,1**********
ThinkPad,一体机,淘宝,已成交,2026-04,6372.92,6080.03,6080.03,采购订单,PC 经营采购,顾客1676,顾客1676,1**********,1**********
微星,台式整机,拼多多,报价中,2026-03,,11018.36,2948.11,退换订单,PC 经营采购,顾客1677,顾客1677,1**********,1**********
宏碁（acer）,一体机,电商通,报价中,2026-04,,6826.61,750.44,销售订单,PC 经营采购,顾客1678,顾客1678,1**********,1**********
七彩虹,轻薄本,拼多多,撤销,2026-07,,7498.95,1682.9,销售订单,PC 经营采购,顾客1679,顾客1679,1**********,1**********
华硕（ASUS）,一体机,抖音,已成交,2026-01,7793.19,7158.71,7158.71,销售订单,PC 经营采购,顾客1680,顾客1680,1**********,1**********
微星,电脑配件,淘宝,待发布,2026-02,,10673.22,794.55,销售订单,PC 经营采购,顾客1681,顾客1681,1**********,1**********
雷神,轻薄本,电商通,已成交,2026-05,8339.01,8239.67,8239.67,销售订单,PC 经营采购,顾客1682,顾客1682,1**********,1**********
ThinkPad,电脑配件,淘宝,已成交,2026-02,6874.64,7170.27,7170.27,退换订单,PC 经营采购,顾客1683,顾客1683,1**********,1**********
宏碁（acer）,台式整机,拼多多,已成交,2026-05,7711.06,6242.87,6242.87,销售订单,PC 经营采购,顾客1684,顾客1684,1**********,1**********
七彩虹,电脑配件,淘宝,报价中,2026-03,,8543.94,1129.72,退换订单,PC 经营采购,顾客1685,顾客1685,1**********,1**********
雷神,台式整机,电商通,报价中,2026-05,,7859.69,362.88,销售订单,PC 经营采购,顾客1686,顾客1686,1**********,1**********
雷神,轻薄本,淘宝,已成交,2026-01,7410.94,9494.38,9494.38,采购订单,PC 经营采购,顾客1687,顾客1687,1**********,1**********
华硕（ASUS）,笔记本电脑,快手,报价中,2026-02,,8852.86,2546.92,采购订单,PC 经营采购,顾客1688,顾客1688,1**********,1**********
机械革命,显示器,拼多多,撤销,2026-03,,7902.86,1566.41,销售订单,PC 经营采购,顾客1689,顾客1689,1**********,1**********
联想（Lenovo）,电脑配件,天猫,已成交,2026-06,6138.3,6218.45,6218.45,销售订单,PC 经营采购,顾客1690,顾客1690,1**********,1**********
华硕（ASUS）,笔记本电脑,京东,已成交,2026-04,8468.72,8835.56,8835.56,销售订单,PC 经营采购,顾客1691,顾客1691,1**********,1**********
雷神,轻薄本,天猫,已成交,2026-02,8008.38,7289.74,7289.74,销售订单,PC 经营采购,顾客1692,顾客1692,1**********,1**********
雷神,一体机,拼多多,已成交,2026-07,8555.45,8206.54,8206.54,采购订单,PC 经营采购,顾客1693,顾客1693,1**********,1**********
联想（Lenovo）,电脑配件,抖音,已成交,2026-06,6444.14,6486.4,6486.4,销售订单,PC 经营采购,顾客1694,顾客1694,1**********,1**********
七彩虹,笔记本电脑,天猫,已成交,2026-06,7386.18,9068.47,9068.47,采购订单,PC 经营采购,顾客1695,顾客1695,1**********,1**********
机械革命,台式整机,淘宝,已成交,2026-01,10244.58,8092.92,8092.92,采购订单,PC 经营采购,顾客1696,顾客1696,1**********,1**********
微星,笔记本电脑,快手,新建采购,2026-06,,8288.39,287.05,退换订单,PC 经营采购,顾客1697,顾客1697,1**********,1**********
惠普(HP),笔记本电脑,快手,撤销,2026-02,,8679.69,649.47,采购订单,PC 经营采购,顾客1698,顾客1698,1**********,1**********
雷神,游戏本,拼多多,已成交,2026-06,7561.11,9244.13,9244.13,采购订单,PC 经营采购,顾客1699,顾客1699,1**********,1**********
机械革命,一体机,天猫,已成交,2026-08,8687.11,8397.31,8397.31,退换订单,PC 经营采购,顾客1700,顾客1700,1**********,1**********
华硕（ASUS）,电脑配件,快手,撤销,2026-01,,7172.29,1730.06,采购订单,PC 经营采购,顾客1701,顾客1701,1**********,1**********
联想（Lenovo）,游戏本,淘宝,已成交,2026-05,6154.42,6008.96,6008.96,采购订单,PC 经营采购,顾客1702,顾客1702,1**********,1**********
ThinkPad,轻薄本,拼多多,报价中,2026-03,,7830.59,2075.12,销售订单,PC 经营采购,顾客1703,顾客1703,1**********,1**********
华硕（ASUS）,台式整机,拼多多,撤销,2026-03,,9133.0,1688.16,采购订单,PC 经营采购,顾客1704,顾客1704,1**********,1**********
机械革命,一体机,淘宝,撤销,2026-05,,9547.53,2082.88,退换订单,PC 经营采购,顾客1705,顾客1705,1**********,1**********
联想（Lenovo）,轻薄本,电商通,已成交,2026-02,7738.32,6394.12,6394.12,退换订单,PC 经营采购,顾客1706,顾客1706,1**********,1**********
宏碁（acer）,台式整机,天猫,已成交,2026-06,7176.79,7623.34,7623.34,销售订单,PC 经营采购,顾客1707,顾客1707,1**********,1**********
华硕（ASUS）,台式整机,京东,已成交,2026-07,8996.46,9125.9,9125.9,采购订单,PC 经营采购,顾客1708,顾客1708,1**********,1**********
宏碁（acer）,笔记本电脑,淘宝,撤销,2026-02,,6923.86,433.78,采购订单,PC 经营采购,顾客1709,顾客1709,1**********,1**********
联想（Lenovo）,台式整机,淘宝,撤销,2026-03,,6713.44,121.12,采购订单,PC 经营采购,顾客1710,顾客1710,1**********,1**********
宏碁（acer）,电脑配件,天猫,已成交,2026-06,6418.56,8250.56,8250.56,退换订单,PC 经营采购,顾客1711,顾客1711,1**********,1**********
ThinkPad,轻薄本,电商通,已成交,2026-01,7294.9,6385.91,6385.91,退换订单,PC 经营采购,顾客1712,顾客1712,1**********,1**********
机械革命,台式整机,京东,已成交,2026-08,8990.06,8184.0,8184.0,退换订单,PC 经营采购,顾客1713,顾客1713,1**********,1**********
七彩虹,显示器,京东,已成交,2026-05,8375.67,9270.81,9270.81,采购订单,PC 经营采购,顾客1714,顾客1714,1**********,1**********
华硕（ASUS）,电脑配件,淘宝,撤销,2026-06,,9904.86,225.41,销售订单,PC 经营采购,顾客1715,顾客1715,1**********,1**********
联想（Lenovo）,台式整机,拼多多,撤销,2026-08,,5699.12,982.6,退换订单,PC 经营采购,顾客1716,顾客1716,1**********,1**********
华硕（ASUS）,一体机,抖音,已成交,2026-08,9438.18,10053.17,10053.17,退换订单,PC 经营采购,顾客1717,顾客1717,1**********,1**********
惠普(HP),轻薄本,抖音,已成交,2026-02,8543.5,6466.28,6466.28,退换订单,PC 经营采购,顾客1718,顾客1718,1**********,1**********
联想（Lenovo）,轻薄本,快手,已成交,2026-06,6808.94,5545.15,5545.15,采购订单,PC 经营采购,顾客1719,顾客1719,1**********,1**********
华硕（ASUS）,电脑配件,电商通,报价中,2026-08,,9045.39,285.41,退换订单,PC 经营采购,顾客1720,顾客1720,1**********,1**********
七彩虹,显示器,拼多多,已成交,2026-03,7557.6,7249.16,7249.16,采购订单,PC 经营采购,顾客1721,顾客1721,1**********,1**********
宏碁（acer）,游戏本,快手,新建采购,2026-01,,6297.4,1366.29,销售订单,PC 经营采购,顾客1722,顾客1722,1**********,1**********
宏碁（acer）,一体机,京东,已成交,2026-04,6524.72,7623.7,7623.7,采购订单,PC 经营采购,顾客1723,顾客1723,1**********,1**********
联想（Lenovo）,一体机,快手,报价中,2026-01,,6311.18,1217.71,采购订单,PC 经营采购,顾客1724,顾客1724,1**********,1**********
华硕（ASUS）,电脑配件,抖音,撤销,2026-05,,7649.06,902.68,销售订单,PC 经营采购,顾客1725,顾客1725,1**********,1**********
联想（Lenovo）,台式整机,淘宝,已成交,2026-03,6195.68,6377.79,6377.79,退换订单,PC 经营采购,顾客1726,顾客1726,1**********,1**********
联想（Lenovo）,笔记本电脑,拼多多,新建采购,2026-04,,7587.37,784.33,退换订单,PC 经营采购,顾客1727,顾客1727,1**********,1**********
微星,显示器,拼多多,撤销,2026-06,,10327.64,821.3,退换订单,PC 经营采购,顾客1728,顾客1728,1**********,1**********
华硕（ASUS）,台式整机,抖音,已成交,2026-07,7615.24,8280.14,8280.14,采购订单,PC 经营采购,顾客1729,顾客1729,1**********,1**********
华硕（ASUS）,游戏本,京东,已成交,2026-04,9555.38,7749.67,7749.67,销售订单,PC 经营采购,顾客1730,顾客1730,1**********,1**********
ThinkPad,轻薄本,抖音,已成交,2026-06,7601.21,7032.54,7032.54,退换订单,PC 经营采购,顾客1731,顾客1731,1**********,1**********
机械革命,笔记本电脑,拼多多,报价中,2026-05,,9721.31,2817.58,退换订单,PC 经营采购,顾客1732,顾客1732,1**********,1**********
机械革命,轻薄本,快手,撤销,2026-06,,10993.0,2510.48,退换订单,PC 经营采购,顾客1733,顾客1733,1**********,1**********
机械革命,显示器,淘宝,已成交,2026-07,8437.51,7987.31,7987.31,采购订单,PC 经营采购,顾客1734,顾客1734,1**********,1**********
机械革命,轻薄本,抖音,撤销,2026-04,,10117.57,1874.09,采购订单,PC 经营采购,顾客1735,顾客1735,1**********,1**********
微星,电脑配件,淘宝,已成交,2026-03,10613.43,11200.22,11200.22,退换订单,PC 经营采购,顾客1736,顾客1736,1**********,1**********
ThinkPad,电脑配件,抖音,撤销,2026-03,,7160.3,1136.82,采购订单,PC 经营采购,顾客1737,顾客1737,1**********,1**********
惠普(HP),轻薄本,淘宝,已成交,2026-04,6703.59,7232.41,7232.41,采购订单,PC 经营采购,顾客1738,顾客1738,1**********,1**********
联想（Lenovo）,显示器,京东,已成交,2026-05,5966.01,5797.86,5797.86,采购订单,PC 经营采购,顾客1739,顾客1739,1**********,1**********
雷神,轻薄本,拼多多,已成交,2026-03,8317.67,9669.14,9669.14,退换订单,PC 经营采购,顾客1740,顾客1740,1**********,1**********
华硕（ASUS）,轻薄本,抖音,撤销,2026-01,,7913.43,742.83,采购订单,PC 经营采购,顾客1741,顾客1741,1**********,1**********
七彩虹,轻薄本,拼多多,报价中,2026-05,,9542.29,2563.23,销售订单,PC 经营采购,顾客1742,顾客1742,1**********,1**********
ThinkPad,台式整机,天猫,已成交,2026-06,6687.76,6016.42,6016.42,退换订单,PC 经营采购,顾客1743,顾客1743,1**********,1**********
宏碁（acer）,轻薄本,拼多多,已成交,2026-02,7028.03,6905.27,6905.27,退换订单,PC 经营采购,顾客1744,顾客1744,1**********,1**********
华硕（ASUS）,台式整机,拼多多,已成交,2026-07,9343.78,8269.76,8269.76,销售订单,PC 经营采购,顾客1745,顾客1745,1**********,1**********
宏碁（acer）,台式整机,抖音,已成交,2026-04,7481.97,6781.72,6781.72,退换订单,PC 经营采购,顾客1746,顾客1746,1**********,1**********
ThinkPad,显示器,淘宝,已成交,2026-01,7599.87,6749.45,6749.45,退换订单,PC 经营采购,顾客1747,顾客1747,1**********,1**********
微星,显示器,拼多多,已成交,2026-03,9105.26,8106.5,8106.5,销售订单,PC 经营采购,顾客1748,顾客1748,1**********,1**********
雷神,电脑配件,拼多多,撤销,2026-01,,7175.92,2051.49,采购订单,PC 经营采购,顾客1749,顾客1749,1**********,1**********
七彩虹,一体机,天猫,已成交,2026-08,8529.05,9741.23,9741.23,销售订单,PC 经营采购,顾客1750,顾客1750,1**********,1**********
惠普(HP),台式整机,抖音,已成交,2026-03,8163.91,9079.98,9079.98,采购订单,PC 经营采购,顾客1751,顾客1751,1**********,1**********
微星,显示器,电商通,已成交,2026-06,8798.39,7888.54,7888.54,退换订单,PC 经营采购,顾客1752,顾客1752,1**********,1**********
华硕（ASUS）,显示器,抖音,已成交,2026-08,8658.32,7179.73,7179.73,采购订单,PC 经营采购,顾客1753,顾客1753,1**********,1**********
ThinkPad,笔记本电脑,抖音,报价中,2026-01,,8305.41,46.97,销售订单,PC 经营采购,顾客1754,顾客1754,1**********,1**********
ThinkPad,游戏本,天猫,待发布,2026-08,,7538.62,1607.32,采购订单,PC 经营采购,顾客1755,顾客1755,1**********,1**********
雷神,一体机,电商通,报价中,2026-08,,9202.35,2269.03,采购订单,PC 经营采购,顾客1756,顾客1756,1**********,1**********
雷神,台式整机,抖音,报价中,2026-05,,7362.86,1501.56,采购订单,PC 经营采购,顾客1757,顾客1757,1**********,1**********
联想（Lenovo）,显示器,电商通,已成交,2026-04,6695.71,6154.33,6154.33,采购订单,PC 经营采购,顾客1758,顾客1758,1**********,1**********
宏碁（acer）,轻薄本,拼多多,新建采购,2026-02,,6875.33,517.68,退换订单,PC 经营采购,顾客1759,顾客1759,1**********,1**********
联想（Lenovo）,一体机,拼多多,已成交,2026-04,6944.19,6290.64,6290.64,退换订单,PC 经营采购,顾客1760,顾客1760,1**********,1**********
联想（Lenovo）,轻薄本,抖音,已成交,2026-04,6578.44,6938.58,6938.58,销售订单,PC 经营采购,顾客1761,顾客1761,1**********,1**********
雷神,显示器,拼多多,已成交,2026-06,9201.95,9036.85,9036.85,采购订单,PC 经营采购,顾客1762,顾客1762,1**********,1**********
雷神,显示器,拼多多,撤销,2026-03,,9510.55,1872.29,采购订单,PC 经营采购,顾客1763,顾客1763,1**********,1**********
ThinkPad,笔记本电脑,拼多多,已成交,2026-05,7109.44,6467.51,6467.51,采购订单,PC 经营采购,顾客1764,顾客1764,1**********,1**********
雷神,一体机,京东,报价中,2026-08,,7793.1,1661.04,采购订单,PC 经营采购,顾客1765,顾客1765,1**********,1**********
雷神,轻薄本,抖音,已成交,2026-07,9285.42,9401.41,9401.41,采购订单,PC 经营采购,顾客1766,顾客1766,1**********,1**********
惠普(HP),轻薄本,天猫,已成交,2026-02,8038.27,7373.23,7373.23,退换订单,PC 经营采购,顾客1767,顾客1767,1**********,1**********
雷神,电脑配件,京东,已成交,2026-08,8178.69,8733.9,8733.9,采购订单,PC 经营采购,顾客1768,顾客1768,1**********,1**********
华硕（ASUS）,显示器,拼多多,已成交,2026-08,7476.77,8006.12,8006.12,销售订单,PC 经营采购,顾客1769,顾客1769,1**********,1**********
雷神,电脑配件,拼多多,已成交,2026-03,8331.07,8441.25,8441.25,退换订单,PC 经营采购,顾客1770,顾客1770,1**********,1**********
华硕（ASUS）,显示器,抖音,已成交,2026-04,9276.16,9874.06,9874.06,销售订单,PC 经营采购,顾客1771,顾客1771,1**********,1**********
机械革命,一体机,抖音,已成交,2026-04,9169.17,8475.8,8475.8,采购订单,PC 经营采购,顾客1772,顾客1772,1**********,1**********
联想（Lenovo）,显示器,快手,新建采购,2026-02,,7458.9,2062.11,采购订单,PC 经营采购,顾客1773,顾客1773,1**********,1**********
七彩虹,台式整机,淘宝,撤销,2026-08,,6900.57,1758.06,销售订单,PC 经营采购,顾客1774,顾客1774,1**********,1**********
华硕（ASUS）,一体机,天猫,撤销,2026-01,,9287.26,592.95,退换订单,PC 经营采购,顾客1775,顾客1775,1**********,1**********
七彩虹,电脑配件,拼多多,已成交,2026-04,9419.64,7621.23,7621.23,销售订单,PC 经营采购,顾客1776,顾客1776,1**********,1**********
ThinkPad,一体机,抖音,已成交,2026-03,7811.82,6701.06,6701.06,销售订单,PC 经营采购,顾客1777,顾客1777,1**********,1**********
七彩虹,笔记本电脑,天猫,已成交,2026-04,9336.51,7073.28,7073.28,退换订单,PC 经营采购,顾客1778,顾客1778,1**********,1**********
机械革命,笔记本电脑,淘宝,已成交,2026-05,9568.53,8060.51,8060.51,退换订单,PC 经营采购,顾客1779,顾客1779,1**********,1**********
ThinkPad,笔记本电脑,拼多多,已成交,2026-08,7851.42,6282.9,6282.9,退换订单,PC 经营采购,顾客1780,顾客1780,1**********,1**********
微星,电脑配件,淘宝,撤销,2026-02,,10551.47,105.52,采购订单,PC 经营采购,顾客1781,顾客1781,1**********,1**********
微星,游戏本,抖音,已成交,2026-05,9659.85,9609.97,9609.97,退换订单,PC 经营采购,顾客1782,顾客1782,1**********,1**********
宏碁（acer）,笔记本电脑,淘宝,已成交,2026-07,8242.48,7596.82,7596.82,退换订单,PC 经营采购,顾客1783,顾客1783,1**********,1**********
联想（Lenovo）,轻薄本,抖音,撤销,2026-05,,7176.85,1887.48,采购订单,PC 经营采购,顾客1784,顾客1784,1**********,1**********
联想（Lenovo）,电脑配件,电商通,撤销,2026-06,,7965.34,722.58,采购订单,PC 经营采购,顾客1785,顾客1785,1**********,1**********
联想（Lenovo）,轻薄本,拼多多,已成交,2026-03,7193.21,7180.18,7180.18,销售订单,PC 经营采购,顾客1786,顾客1786,1**********,1**********
华硕（ASUS）,笔记本电脑,拼多多,报价中,2026-03,,7529.33,116.53,退换订单,PC 经营采购,顾客1787,顾客1787,1**********,1**********
雷神,一体机,拼多多,撤销,2026-01,,7750.21,574.66,退换订单,PC 经营采购,顾客1788,顾客1788,1**********,1**********
七彩虹,笔记本电脑,电商通,已成交,2026-03,8611.73,8723.11,8723.11,采购订单,PC 经营采购,顾客1789,顾客1789,1**********,1**********
联想（Lenovo）,台式整机,淘宝,新建采购,2026-01,,6373.21,1819.97,销售订单,PC 经营采购,顾客1790,顾客1790,1**********,1**********
七彩虹,台式整机,天猫,已成交,2026-03,8453.98,8492.83,8492.83,销售订单,PC 经营采购,顾客1791,顾客1791,1**********,1**********
宏碁（acer）,一体机,淘宝,已成交,2026-04,7735.06,7361.21,7361.21,退换订单,PC 经营采购,顾客1792,顾客1792,1**********,1**********
微星,显示器,抖音,已成交,2026-05,8877.18,8044.97,8044.97,销售订单,PC 经营采购,顾客1793,顾客1793,1**********,1**********
ThinkPad,一体机,京东,撤销,2026-03,,5944.75,35.48,退换订单,PC 经营采购,顾客1794,顾客1794,1**********,1**********
宏碁（acer）,电脑配件,淘宝,已成交,2026-08,6199.55,6332.01,6332.01,销售订单,PC 经营采购,顾客1795,顾客1795,1**********,1**********
雷神,轻薄本,京东,待发布,2026-08,,7402.23,719.13,退换订单,PC 经营采购,顾客1796,顾客1796,1**********,1**********
华硕（ASUS）,一体机,天猫,已成交,2026-01,9406.72,10101.77,10101.77,采购订单,PC 经营采购,顾客1797,顾客1797,1**********,1**********
联想（Lenovo）,笔记本电脑,电商通,已成交,2026-05,7107.17,7370.76,7370.76,采购订单,PC 经营采购,顾客1798,顾客1798,1**********,1**********
雷神,显示器,拼多多,已成交,2026-05,9445.59,7842.11,7842.11,采购订单,PC 经营采购,顾客1799,顾客1799,1**********,1**********
宏碁（acer）,笔记本电脑,快手,已成交,2026-02,6904.42,7340.0,7340.0,采购订单,PC 经营采购,顾客1800,顾客1800,1**********,1**********
微星,轻薄本,淘宝,已成交,2026-03,10344.54,8642.57,8642.57,退换订单,PC 经营采购,顾客1801,顾客1801,1**********,1**********
微星,游戏本,拼多多,已成交,2026-03,10508.85,8617.0,8617.0,销售订单,PC 经营采购,顾客1802,顾客1802,1**********,1**********
华硕（ASUS）,游戏本,电商通,已成交,2026-05,7551.32,8803.15,8803.15,销售订单,PC 经营采购,顾客1803,顾客1803,1**********,1**********
七彩虹,电脑配件,抖音,已成交,2026-05,7441.71,8778.73,8778.73,采购订单,PC 经营采购,顾客1804,顾客1804,1**********,1**********
雷神,游戏本,拼多多,已成交,2026-05,8011.89,7176.82,7176.82,采购订单,PC 经营采购,顾客1805,顾客1805,1**********,1**********
宏碁（acer）,显示器,电商通,报价中,2026-08,,6719.6,304.92,采购订单,PC 经营采购,顾客1806,顾客1806,1**********,1**********
华硕（ASUS）,台式整机,抖音,报价中,2026-04,,8478.87,2429.47,销售订单,PC 经营采购,顾客1807,顾客1807,1**********,1**********
惠普(HP),游戏本,拼多多,撤销,2026-04,,6467.5,535.49,退换订单,PC 经营采购,顾客1808,顾客1808,1**********,1**********
宏碁（acer）,显示器,抖音,撤销,2026-01,,6567.09,1017.41,采购订单,PC 经营采购,顾客1809,顾客1809,1**********,1**********
华硕（ASUS）,轻薄本,抖音,报价中,2026-08,,8665.3,1549.31,销售订单,PC 经营采购,顾客1810,顾客1810,1**********,1**********
机械革命,显示器,抖音,撤销,2026-08,,11208.19,203.23,采购订单,PC 经营采购,顾客1811,顾客1811,1**********,1**********
华硕（ASUS）,电脑配件,淘宝,已成交,2026-04,9113.37,8546.74,8546.74,销售订单,PC 经营采购,顾客1812,顾客1812,1**********,1**********
